"","group","name1","name2","C.ij.ruzicka","E.ij.ruzicka","ST.ij.ruzicka","NST.ij.ruzicka","MST.ij.ruzicka"
"2174","P","P43","P25",0.0477312,0.2046259321,0.835241129290385,0.455533185909785,0.194828978816342
"2175","P","P44","P25",0.0442344,0.2049228653,0.831874608899923,0.443134398919789,0.179567439417034
"2176","P","P45","P25",0.0646964,0.201433327,0.853804767778078,0.523902473088398,0.274225201960138
"2177","P","P46","P25",0.0531343,0.2085640911,0.835848113306882,0.457768688640794,0.212942717860226
"2178","P","P47","P25",0.0685103,0.2074141334,0.850879904093411,0.513130293628651,0.281051423728152
"2179","P","P48","P25",0.0564728,0.2113759942,0.835825406835118,0.457685061431082,0.223305400472568
"2180","P","P49","P25",0.0506577,0.2074942836,0.834794484981866,0.453888209198129,0.203806909029786
"2181","P","P50","P25",0.0589112000000001,0.2102852894,0.839150046839363,0.469929604297311,0.235086992439725
"2182","P","P51","P25",0.0596679,0.207519574,0.842766535354903,0.483249015901939,0.242319837042952
"2183","P","P52","P25",0.0584511,0.2122497741,0.83665354598152,0.460735071436489,0.230404580117386
"2184","P","P53","P25",0.048687,0.2067093456,0.833890269974236,0.450558014227522,0.19640919212622
"2185","P","P54","P25",0.069605,0.2111690378,0.847845229391818,0.501953683703584,0.279464583476061
"2186","P","P55","P25",0.0623858,0.2024001203,0.850669582115971,0.51235568450851,0.262201931191098
"2187","P","P56","P25",0.0537851,0.211396488,0.833429606741555,0.448861406266285,0.212047490313819
"2188","P","P27","P26",0.1621741,0.2575839361,0.886122121433582,0.642926253603779,0.557899920738038
"2189","P","P28","P26",0.1814046,0.2716023617,0.889813989059797,0.656523284063593,0.594311292985332
"2190","P","P29","P26",0.1654042,0.2733134847,0.870704735513886,0.5861445140657,0.526934191966291
"2191","P","P30","P26",0.2502994,0.2702432525,0.973397576979397,0.964358966690288,0.901561194314728
"2192","P","P31","P26",0.1386725,0.27093389,0.846444714699113,0.496795632856662,0.43323707011741
"2193","P","P32","P26",0.077354,0.2333634999,0.830910771953707,0.439584618255138,0.275425556615536
"2194","P","P33","P26",0.1306693,0.2694969892,0.840305088500843,0.474183585816578,0.407433411507824
"2195","P","P34","P26",0.0880783000000001,0.2514325681,0.820868098543987,0.402597773093001,0.287554898676576
"2196","P","P35","P26",0.1185062,0.2712538291,0.826717296139803,0.424140180873562,0.361178773272487
"2197","P","P36","P26",0.1199877,0.2729828099,0.826144350596009,0.422030040749505,0.363126017100935
"2198","P","P37","P26",0.1440584,0.2731010766,0.849238924010704,0.50708661643663,0.447966013659807
"2199","P","P38","P26",0.1479221,0.2649251468,0.862685035253232,0.556608214348888,0.481683915606429
"2200","P","P39","P26",0.0972149,0.2552002392,0.825002274406168,0.417823810647856,0.314272877868714
"2201","P","P40","P26",0.0965916,0.2610422054,0.817966486253615,0.391911227775229,0.302666350571733
"2202","P","P41","P26",0.1504779,0.2729837887,0.855794347551406,0.531230031798272,0.471742797858698
"2203","P","P42","P26",0.1336635,0.2713318049,0.841091417826676,0.477079611589244,0.41433853568368
"2204","P","P43","P26",0.1018114,0.2730218813,0.809382482365062,0.360296615834371,0.301823294428608
"2205","P","P44","P26",0.1015385,0.2733070019,0.808819296208018,0.358222419219762,0.300491013904089
"2206","P","P45","P26",0.1859373,0.2714637907,0.894938693665734,0.675397407320256,0.612982246864843
"2207","P","P46","P26",0.1004959,0.2723771912,0.808915499996053,0.358576734696021,0.298456309200876
"2208","P","P47","P26",0.1223959,0.27270989,0.82872232479315,0.431524637314734,0.371941827240479
"2209","P","P48","P26",0.1607765,0.2668350662,0.8736229786225,0.596892310155468,0.526385256715935
"2210","P","P49","P26",0.1256684,0.2728859168,0.831622788424895,0.442206952159499,0.382975810735921
"2211","P","P50","P26",0.0868184,0.2688221875,0.800692668906163,0.328292310628041,0.258590472210047
"2212","P","P51","P26",0.1031538,0.2730559186,0.810556014398009,0.364618696800721,0.306208096226958
"2213","P","P52","P26",0.079491,0.2621264373,0.801592991160325,0.331608168712056,0.243086615438943
"2214","P","P53","P26",0.1193138,0.2731012343,0.825377717625188,0.419206556022771,0.360595045194888
"2215","P","P54","P26",0.1025238,0.2690131991,0.81449157192135,0.3791132293623,0.31041142702559
"2216","P","P55","P26",0.1459292,0.2717844009,0.852640787040138,0.51961556923626,0.45780842288266
"2217","P","P56","P26",0.1023693,0.2663700019,0.817296019510028,0.389441920189521,0.314097010974372
"2218","P","P28","P27",0.1425253,0.2545411726,0.869365390489072,0.581211749150382,0.486783972209422
"2219","P","P29","P27",0.1313694,0.2591218734,0.852926579607027,0.520668134124988,0.432416034728419
"2220","P","P30","P27",0.1351477,0.2531255039,0.863586182403631,0.559927110499375,0.461082287266239
"2221","P","P31","P27",0.0560912,0.2592665648,0.784751064085852,0.269579889635229,0.169777498767756
"2222","P","P32","P27",0.0408032,0.2337436054,0.798852117313152,0.321513617942712,0.139450756983797
"2223","P","P33","P27",0.0748527,0.2518599555,0.80867127267193,0.357677253267804,0.240336849308822
"2224","P","P34","P27",0.0484935,0.2478745672,0.790457482739214,0.290596447134544,0.154642932400102
"2225","P","P35","P27",0.0593607,0.2591186533,0.787635969175432,0.280204902866514,0.180437115892622
"2226","P","P36","P27",0.0529717,0.2574613178,0.784072326244105,0.267080119859374,0.161319938851431
"2227","P","P37","P27",0.0662609,0.2579974326,0.794657273536045,0.306064142396385,0.204090039212446
"2228","P","P38","P27",0.0702988,0.2474495123,0.809454142578282,0.360560538109099,0.229960666923012
"2229","P","P39","P27",0.0448316,0.2514897848,0.783642146452919,0.265495781438782,0.139695261502799
"2230","P","P40","P27",0.0451518,0.2549690833,0.780261110300046,0.253043533359812,0.138174374493057
"2231","P","P41","P27",0.0707356,0.2582478046,0.79821436762239,0.319164806216786,0.218635632972155
"2232","P","P42","P27",0.069482,0.2544265646,0.801245580848517,0.330328667638351,0.218814201009405
"2233","P","P43","P27",0.0614269,0.257775442,0.79080101272879,0.291861657105497,0.188444850882227
"2234","P","P44","P27",0.0572260999999999,0.2580067167,0.78703205858796,0.277980719476365,0.174564351905341
"2235","P","P45","P27",0.0821742,0.2545349041,0.812207606171019,0.37070145650893,0.262213587197444
"2236","P","P46","P27",0.0655835,0.2588882754,0.793127823192334,0.300431225668133,0.200921028625055
"2237","P","P47","P27",0.0785351,0.2591216146,0.804022362002069,0.340555463869339,0.243684714220165
"2238","P","P48","P27",0.073184,0.2577815889,0.800826065907365,0.328783607519541,0.22735392026038
"2239","P","P49","P27",0.0653505,0.2587912818,0.793033878689284,0.300085231066258,0.200258525437251
"2240","P","P50","P27",0.0762547,0.2588264103,0.802357088799261,0.334422315892498,0.236388160807642
"2241","P","P51","P27",0.069963,0.259128252,0.796604595301047,0.313236066212338,0.215078235857691
"2242","P","P52","P27",0.0731615,0.2555733831,0.803189139100286,0.337486730555363,0.229924264755274
"2243","P","P53","P27",0.063667,0.2585597908,0.79185525790504,0.295744408391539,0.19498410231944
"2244","P","P54","P27",0.079491,0.2582687752,0.805783783537152,0.347042723080648,0.248007366308801
"2245","P","P55","P27",0.0754854,0.2557488366,0.805018291111898,0.34422343894678,0.237604708274548
"2246","P","P56","P27",0.0646852999999999,0.2569469465,0.794441756876055,0.305270401426456,0.199997330484153
"2247","P","P29","P28",0.1953174,0.2901451997,0.882155026466336,0.628315569644366,0.59384138129629
"2248","P","P30","P28",0.2169569,0.3089476984,0.882521411145823,0.629664952707731,0.619746029950755
"2249","P","P31","P28",0.1199142,0.2808164993,0.817174303573583,0.388993644286147,0.348949592056906
"2250","P","P32","P28",0.0966387,0.2251590522,0.857730951945805,0.538362483880865,0.368139780905531
"2251","P","P33","P28",0.1394334,0.309970445,0.801831671133879,0.332487219425442,0.360686374902222
"2252","P","P34","P28",0.1167725,0.245250583,0.85453568531324,0.52659441900722,0.406874744567846
"2253","P","P35","P28",0.1251361,0.2813361489,0.821457887449694,0.404769946780597,0.365377989112346
"2254","P","P36","P28",0.1052632,0.3020508635,0.780060836326392,0.252305930716441,0.27184726067301
"2255","P","P37","P28",0.128437,0.2977274979,0.805762179096635,0.346963154616792,0.347598652212482
"2256","P","P38","P28",0.1296581,0.3107679426,0.791909544283689,0.295944343388883,0.330399223371146
"2257","P","P39","P28",0.098216,0.2506753705,0.830935822214632,0.439676877565415,0.325565262162971
"2258","P","P40","P28",0.0932404,0.2585484575,0.817693622984526,0.390906281077029,0.294885071919357
"2259","P","P41","P28",0.1456469,0.2955551126,0.824535999693803,0.416106535786307,0.406323921238788
"2260","P","P42","P28",0.1377102,0.307807188,0.802738026125324,0.335825295888036,0.359137857837561
"2261","P","P43","P28",0.1262136,0.2989749967,0.802284177574748,0.334153786183166,0.338687767848208
"2262","P","P44","P28",0.1162121,0.2974038948,0.794982716101906,0.307262736963948,0.310643581060144
"2263","P","P45","P28",0.1438666,0.3071420426,0.809287381382387,0.359946361955005,0.379073548501521
"2264","P","P46","P28",0.1462117,0.286218546,0.83601690723567,0.458390351285159,0.427070345174871
"2265","P","P47","P28",0.1692132,0.2907858395,0.853665658265153,0.523390137198819,0.496762490269589
"2266","P","P48","P28",0.1231229,0.2682578189,0.834486590082008,0.452754242123562,0.383006204267652
"2267","P","P49","P28",0.1230119,0.2901665802,0.809399146693097,0.36035799002186,0.343132992174598
"2268","P","P50","P28",0.1236903,0.2740850773,0.828377139611715,0.430253331325072,0.373833621009453
"2269","P","P51","P28",0.1792531,0.2881772304,0.867286577140895,0.573555546036617,0.53947290466046
"2270","P","P52","P28",0.1170164,0.2608513029,0.837103539748643,0.462392384097118,0.375519851960238
"2271","P","P53","P28",0.1120023,0.2911756353,0.798227703405088,0.319213921478193,0.307042650093216
"2272","P","P54","P28",0.126474,0.2736828001,0.83147748309724,0.441671797282312,0.384241476478669
"2273","P","P55","P28",0.2068652,0.3048900496,0.876408336136556,0.607150692848054,0.594635298772164
"2274","P","P56","P28",0.1715159,0.2683009951,0.88317808983902,0.632083479344577,0.564586370179365
"2275","P","P30","P29",0.1959182,0.2901440946,0.882815536180523,0.630748205809063,0.596116322887665
"2276","P","P31","P29",0.1100238,0.2801643596,0.808825719609131,0.358246076400744,0.317635260017317
"2277","P","P32","P29",0.1060159,0.2313987177,0.859748268789121,0.545792197332909,0.393895814959914
"2278","P","P33","P29",0.164171,0.28936289,0.850218298240429,0.510693620419813,0.482374185025694
"2279","P","P34","P29",0.1185429,0.2507571065,0.850004944653574,0.509907845979098,0.401831288293216
"2280","P","P35","P29",0.1300823,0.2803603105,0.827250312874425,0.42610326446973,0.383829733896748
"2281","P","P36","P29",0.1101081,0.2900081259,0.797840585019371,0.317788176837523,0.302918101507484
"2282","P","P37","P29",0.1157252,0.2888059462,0.80426814582978,0.341460677850523,0.32227207664667
"2283","P","P38","P29",0.1290223,0.2866572187,0.81901382928633,0.395768558687253,0.368632084220838
"2284","P","P39","P29",0.0948666,0.2552093412,0.822851812561552,0.409903728411892,0.305871068020106
"2285","P","P40","P29",0.0970502,0.2622071154,0.817091807983124,0.388689815663388,0.302428571635641
"2286","P","P41","P29",0.1298826,0.2879325601,0.818357890440991,0.393352756886421,0.369150506993985
"2287","P","P42","P29",0.142436,0.290175773,0.827721577631524,0.427838917506532,0.406296326576939
"2288","P","P43","P29",0.1314445,0.2894773058,0.818050998698414,0.392222484408052,0.371456768264608
"2289","P","P44","P29",0.1346819,0.2882409094,0.822540393642523,0.40875678248736,0.384335808796622
"2290","P","P45","P29",0.1397888,0.2902785784,0.825054848855723,0.418017440665067,0.397319801865624
"2291","P","P46","P29",0.1524217,0.2829585303,0.845988470563723,0.495115300289492,0.455709890516499
"2292","P","P47","P29",0.1577554,0.2864104797,0.847247367688674,0.499751778161068,0.46666535221991
"2293","P","P48","P29",0.1206993,0.271109138,0.828943798179621,0.432340316717893,0.369050401317058
"2294","P","P49","P29",0.1067098,0.2854265893,0.799934232682727,0.325499014259924,0.299064015696898
"2295","P","P50","P29",0.1968556,0.2756765222,0.90185958813882,0.700886840443889,0.644001559951558
"2296","P","P51","P29",0.1561592,0.2844247796,0.847997892967489,0.502515938773015,0.46558064579929
"2297","P","P52","P29",0.1848249,0.2643051008,0.902499228938666,0.703242617064125,0.631105223598719
"2298","P","P53","P29",0.1090371,0.2863549803,0.80098174649023,0.329356974130031,0.304994614372453
"2299","P","P54","P29",0.0948432,0.2753462662,0.800583648932428,0.327890793549511,0.275761557185147
"2300","P","P55","P29",0.1422447,0.2905489132,0.827101956467072,0.42555687256354,0.404926208022284
"2301","P","P56","P29",0.1331613,0.2711848453,0.840773669541981,0.475909354813276,0.412849452255069
"2302","P","P31","P30",0.1863774,0.2805631245,0.884239050758915,0.635990964499797,0.587397846928792
"2303","P","P32","P30",0.1265608,0.2236034101,0.888895975701572,0.653142270208796,0.503120170444894
"2304","P","P33","P30",0.2078341,0.3124329109,0.867958453021015,0.576030043427136,0.577376318651503
"2305","P","P34","P30",0.1444423,0.2440958497,0.883522116977032,0.633350520297325,0.52281907633365
"2306","P","P35","P30",0.1931846,0.2812508526,0.890847085219246,0.660328144196768,0.611901923952589
"2307","P","P36","P30",0.1817321,0.3022269048,0.852744064871664,0.519995938188578,0.512763646155912
"2308","P","P37","P30",0.2040956,0.2986596275,0.881186700940465,0.624749257684318,0.602178238638782
"2309","P","P38","P30",0.218232,0.3145993152,0.876731568444858,0.608341147107675,0.6081732362425
"2310","P","P39","P30",0.1441352,0.2489772898,0.877501575248801,0.611177057553956,0.507993581062754
"2311","P","P40","P30",0.1402334,0.2572243151,0.86392712266329,0.561182782577821,0.470995277861623
"2312","P","P41","P30",0.2301255,0.2953722901,0.915250095827307,0.750203652243933,0.71307428958891
"2313","P","P42","P30",0.2052161,0.3098145531,0.868393845043917,0.577633578330533,0.575209900118527
"2314","P","P43","P30",0.1622005,0.2992574088,0.836408461929137,0.459832434705472,0.453341727689039
"2315","P","P44","P30",0.1575065,0.2972951969,0.834077417926667,0.451247274154293,0.441892826377736
"2316","P","P45","P30",0.2856497,0.3087540665,0.967656811371116,0.943215910453878,0.895246112883555
"2317","P","P46","P30",0.1622005,0.284913149,0.853529813517435,0.522889825335139,0.485912858017777
"2318","P","P47","P30",0.1971496,0.2906255982,0.883569842899748,0.633526293345171,0.599380929204564
"2319","P","P48","P30",0.2143137,0.2672174492,0.932665557233211,0.814344239930864,0.748016295461334
"2320","P","P49","P30",0.1706848,0.2896939688,0.856497060707437,0.533818101890281,0.504639534309272
"2321","P","P50","P30",0.1363455,0.2733544888,0.841361344380189,0.478073742457851,0.419659591776892
"2322","P","P51","P30",0.1657627,0.2880634677,0.853398106629852,0.522404753078076,0.491077801219749
"2323","P","P52","P30",0.1240606,0.2598086624,0.845025737625228,0.49156958564999,0.403506176648667
"2324","P","P53","P30",0.1656963,0.2911028942,0.849687117293139,0.508737297969708,0.483643461807736
"2325","P","P54","P30",0.1567998,0.2731769576,0.86198158207268,0.55401741877022,0.494765520709056
"2326","P","P55","P30",0.2092759,0.3067012551,0.876789698075473,0.608555236679161,0.59827258651304
"2327","P","P56","P30",0.1468541,0.2676730725,0.85838416090378,0.540768231593794,0.470937297601273
"2328","P","P32","P31",0.247327,0.2323887321,0.939601143829829,0.839887783675839,0.921315829123499
"2329","P","P33","P31",0.247753,0.2791521682,0.958259496947146,0.908605901807887,0.850474014506137
"2330","P","P34","P31",0.2440056,0.2510086027,0.990736700298309,1.02821840364291,0.963095688346737
"2331","P","P35","P31",0.2893437,0.2764733467,0.955518805835413,0.898512024047329,0.938521692377595
"2332","P","P36","P31",0.2832309,0.2818720118,0.995202189450374,1.04466465745425,0.993319003536331
"2333","P","P37","P31",0.2267185,0.2817726633,0.928804499655042,0.800124088286021,0.747329994644806
"2334","P","P38","P31",0.2719836,0.2755920007,0.995043517288896,1.04408027295535,0.982015143042924
"2335","P","P39","P31",0.2820249,0.2554811785,0.905881638465256,0.715699923234594,0.873584980235796
"2336","P","P40","P31",0.2620827,0.2623312567,0.999663164557871,1.06109428618373,0.998715991962353
"2337","P","P41","P31",0.3233822,0.2813411441,0.869995763836105,0.583533394038134,0.819101601411303
"2338","P","P42","P31",0.264563,0.2809935427,0.977658803269349,0.98005292690956,0.920492134744521
"2339","P","P43","P31",0.2307174,0.2809330924,0.934723998177003,0.821925412130463,0.767645736337621
"2340","P","P44","P31",0.210263,0.28112593,0.910270216540443,0.731862916008192,0.68081996755135
"2341","P","P45","P31",0.2620205,0.2810826479,0.974169813795641,0.967203090200594,0.908104657482987
"2342","P","P46","P31",0.2344744,0.2791431682,0.941649543529309,0.847431974293599,0.790965844348071
"2343","P","P47","P31",0.2044499,0.2801135693,0.904891383584767,0.712052846162444,0.66046408728821
"2344","P","P48","P31",0.1926561,0.2692556035,0.90512159254563,0.712900698406861,0.647626990038223
"2345","P","P49","P31",0.165869,0.2799859674,0.8631905930843,0.558470167680966,0.511370486934981
"2346","P","P50","P31",0.1176021,0.2731154527,0.823760513595964,0.413250445275745,0.354707012504254
"2347","P","P51","P31",0.1895361,0.2794172242,0.88909916382457,0.653890605571057,0.603099499349225
"2348","P","P52","P31",0.105729,0.2636653661,0.823390933956262,0.411889295276033,0.330177229356865
"2349","P","P53","P31",0.1488502,0.2801393512,0.845750828820027,0.494240073343485,0.449384135005546
"2350","P","P54","P31",0.1032966,0.2726407101,0.811148134266024,0.36679945534799,0.307323305955634
"2351","P","P55","P31",0.230451,0.2814499616,0.93372876632937,0.818260005047404,0.764536355614019
"2352","P","P56","P31",0.1859923,0.2693915991,0.897544827770057,0.684995715923528,0.619679408815153
"2353","P","P33","P32",0.3017456,0.2217934057,0.735034431985089,0.0864751227596995,0.659517703967481
"2354","P","P34","P32",0.3069671,0.233522215,0.760740206360877,0.181148668121622,0.687845103509265
"2355","P","P35","P32",0.3322742,0.2322004431,0.698821765577947,-0.0468949701094691,0.607738462837797
"2356","P","P36","P32",0.2577231,0.2282543686,0.885657391983877,0.641214669895215,0.851838995435974
"2357","P","P37","P32",0.1501287,0.2288895531,0.907326140910983,0.721019979569864,0.595115382795435
"2358","P","P38","P32",0.2189287,0.2172942243,0.992534209996223,1.0348385744044,0.990461562651559
"2359","P","P39","P32",0.3050166,0.2336938201,0.766167546618774,0.201137388810953,0.694857669800157
"2360","P","P40","P32",0.2812543,0.2343621428,0.833274878997406,0.448291548930328,0.782240233506319
"2361","P","P41","P32",0.2715252,0.2296310528,0.84570806982188,0.494082593320067,0.799716836018751
"2362","P","P42","P32",0.2457627,0.224671081,0.914178925443121,0.746258565958062,0.889310107679758
"2363","P","P43","P32",0.3110536,0.2292455043,0.73699678865636,0.0937024196548598,0.658771745334057
"2364","P","P44","P32",0.2521356,0.2291741406,0.908932100821938,0.726934678588716,0.881856715018685
"2365","P","P45","P32",0.1647011,0.2246486339,0.928232236508392,0.798016461408836,0.680533274359664
"2366","P","P46","P32",0.3241015,0.2317773937,0.715138293713543,0.0131982814694214,0.629193798841146
"2367","P","P47","P32",0.2294012,0.2306831679,0.998336400342175,1.05620785598626,0.992788378653852
