site1,site2,comm_sim,site_dis,group
T33,T22,0.191355853,623888.9109,T
T33,T23,0.207365705,785049.2116,T
T33,T24,0.182656971,929551.9006,T
T33,T25,0.093771992,1053269.574,T
T33,T26,0.111072015,1059436.83,T
T33,T27,0.111384784,1176323.869,T
T33,T28,0.226268668,637358.1325,T
T33,T29,0.219211823,772092.115,T
T33,T30,0.141058722,915899.9918,T
T33,T31,0.445480491,102660.7806,T
T33,T32,0.64508562,71732.84153,T
T34,T01,0.138556572,429172.9362,T
T34,T02,0.298068653,486765.3009,T
T34,T04,0.104777543,495523.7769,T
T34,T05,0.116271796,500510.0266,T
T34,T06,0.175932442,374442.9089,T
T34,T07,0.188169521,478573.2946,T
T34,T08,0.316052858,410493.8337,T
T34,T09,0.229513645,454709.8861,T
T34,T10,0.228086637,629798.5172,T
T34,T11,0.222828212,579201.1022,T
T34,T12,0.140628665,788741.7537,T
T34,T13,0.150226757,898351.1395,T
T34,T15,0.076921573,989257.466,T
T34,T18,0.081984518,1591383.488,T
T34,T19,0.108687153,1755090.734,T
T34,T20,0.272636641,1914111.899,T
T34,T21,0.117620611,1939757.554,T
T34,T22,0.163187114,623052.5739,T
T34,T23,0.209300962,783083.7931,T
T34,T24,0.165571976,931648.4289,T
T34,T25,0.090018766,1051539.89,T
T34,T26,0.13056142,1046513.771,T
T34,T27,0.107240597,1156985.961,T
T34,T28,0.220951599,599736.646,T
T34,T29,0.184983189,740226.5392,T
T34,T30,0.162952537,907813.3189,T
T34,T31,0.5145242,168134.0205,T
T34,T32,0.606536868,120511.7602,T
T34,T33,0.61232309,66853.58203,T
T35,T01,0.149386191,364720.187,T
T35,T02,0.299554304,417276.6446,T
T35,T04,0.117425131,424139.5655,T
T35,T05,0.125615764,429501.8799,T
T35,T06,0.203671124,304903.1933,T
T35,T07,0.203573383,415366.2094,T
T35,T08,0.342833685,352168.3752,T
T35,T09,0.242122136,414518.9824,T
T35,T10,0.241731175,586705.2876,T
T35,T11,0.233149582,525359.9511,T
T35,T12,0.164790054,728164.9277,T
